Area,Tarefa,Responsavel,Prioridade,Data inicio,Prazo,Situacao,Pendencias,Observacoes
Relatorio de estagio,Enviar versao para orientadora,Augusto,Critica,2026-06-07,2026-06-11,Em andamento,Fechar versao revisavel,Prioridade maxima antes da entrega final
Relatorio de estagio,Finalizar relatorio completo,Augusto,Critica,2026-06-07,2026-06-26,Pendente,,Entrega final
Relatorio de estagio,Escrever eixo ATER agroecologica,Augusto,Alta,2026-06-08,2026-06-09,Pendente,,Conectar com pratica de estagio
Relatorio de estagio,Escrever eixo Educacao Popular,Augusto,Alta,2026-06-08,2026-06-10,Pendente,,Tema central da formacao
Relatorio de estagio,Escrever eixo Economia Solidaria,Augusto,Critica,2026-06-08,2026-06-10,Pendente,,Tema de maior relevancia
Relatorio de estagio,Escrever eixo Processos Grupais e Memoria Biocultural,Augusto,Alta,2026-06-09,2026-06-11,Pendente,,Aprofundamento tematico
Mestra Fernanda,Enviar agenda diaria as 07:00,Augusto,Critica,2026-06-08,2026-06-30,Recorrente,Confirmar formato com ela,Rotina diaria
Ecofeira / Paul Singer,Participar e acompanhar atividades de terca-feira,Augusto,Alta,2026-06-09,2026-06-30,Recorrente,Registrar aprendizados,Toda terca-feira
Instituto Coopera - Secretaria,Pegar contato da Comunicacao da Rural,Augusto,Alta,2026-06-07,2026-06-12,Pendente,,Encaminhamento da reuniao
Instituto Coopera - Secretaria,Organizar Drive da incubadora,Augusto / Secretaria,Alta,2026-06-07,2026-06-20,Pendente,Aguardando acesso ou senha,Criar estrutura por ano projeto e memoria
Instituto Coopera - Secretaria,Criar calendario anual e mensal da incubadora,Augusto / Secretaria,Alta,2026-06-07,2026-06-14,Pendente,,Memoria anual e execucao mensal
Instituto Coopera - Comunicacao,Acompanhar lancamento do site,Equipe comunicacao,Alta,2026-06-07,2026-06-12,Pendente,,Lancamento previsto em 12/06
Instituto Coopera - Comunicacao,Construir linha do tempo,Equipe comunicacao,Alta,2026-06-07,2026-06-20,Pendente,,Prazo citado 20/06
Grupo de estudo Coopera,Encontro EcoSol - Mauricio,Grupo de estudo,Media,2026-06-07,2026-06-19,Agendado,Ler texto antes,08h as 11h
Captacao de recursos,Montar documento-base de editais,Equipe captacao,Media,2026-06-10,2026-06-21,Pendente,,Monitorar semanalmente
